review_id,review_text,aspect,sentiment
RVW_00008,"Kualitas produk: Bagus bangeettttt 💯 Udah cobain yg Elea skrg cobain yg Philea nya, double combo happy nyaaaa 💃🏻💃🏻💃🏻💕💕💕💕 Terimakasih all tim dan ka tsana , aku sukak produknya🙏🏻🤗",No Aspect,None
RVW_00012,Kualitas produk: SANGAT REKOMENDASI!!! GA MENYESAL SAMA SEKALI SAYANG PAUS DAN HMNS<3,No Aspect,None
RVW_00024,"finally arrived home, my philea💚",No Aspect,None
RVW_00026,"Kualitas produk: Baguss banget, sukaaa bangett",No Aspect,None
RVW_00045,"Seperti biasa ga pernah kecewa. Setelah 4 botol elea,akhirnya botol pertama philea sampai",No Aspect,None
RVW_00047,"Packing aman, barang sampai dgn selamat. Thank you HMNS 👍👍👍",No Aspect,None
RVW_00048,"Mantap, moga sukak orangnya..",No Aspect,None
RVW_00051,"SENANGGG BGTTT DAPAT SLEEVE LAPTOP, MAKASIHHH HMNS",No Aspect,None
RVW_00075,"Beli decant dulu dan cocok,akhire kebeli yg full size Alhamdulillah,next time order varian lain",No Aspect,None
RVW_00076,Product quality: 100000000000000000/100,No Aspect,None
RVW_00083,"Suka bgt, cocok bgt dipke bareng elea. Dpt kalender cakep bgt. Makasih hmns 🥰",No Aspect,None
RVW_00104,"Product quality: ga pernha ngeraguin hmns, sebelumnya pernah punya unrosed walaupun petjahhh",No Aspect,None
RVW_00106,"maantap rrespon cepet, pngiriman cpet dan aman, barang kualitas oke thanks HMNS",No Aspect,None
RVW_00122,"Mantul alias Mantab Betul belanja di toko ini, respon cepat, pengiriman ajib, barang pesanan sesuai pada lapak yg ditampilkan, kalo gini ga bakal berpaling dehhh ke toko lainnya",No Aspect,None
RVW_00131,"beli ini karena mama ku minta parfum dan tanpa ragu langsung aku beliin hihi, she loved it!",No Aspect,None
RVW_00135,"Barang sampe dengan aman, belum coba , semoga bermanfaat 😊🔥",No Aspect,None
RVW_00137,Aahhh akhirnya kesampean juga belii parfum ini.. Senengggg,No Aspect,None
RVW_00143,"Pengiriman cepat, dan karena ini buat kado bestie aku jadi ga bisa aku buka. Cuma barang mulus, dan semoga dia suka yaa 🙆‍♀️",No Aspect,None
RVW_00145,"Buat kado, jdi ga terlalu ngerti wanginya. Intinya produk sampe dengan aman. Dan yg menerima senang.",No Aspect,None
RVW_00148,Barang sudah sampai dengan selamat tidak ada yg cacat dan dpt free face towel terima kasih banyak,No Aspect,None
RVW_00155,"Hmns ke 3 aku...suka banget, kyknya bakal order yg sore...",No Aspect,None
RVW_00157,"the first exclusive parfume that i bought, very good",No Aspect,None
RVW_00164,"Kualitas produk: Asli Alhamdulillah.. Thank you for the lanyard gift, I hope HMNS becomes even more successful… Aaaaaamiin🙏",No Aspect,None
RVW_00165,"akhirnya barang ini dapet juga, setelah hunting kelima mall, di tokped muncul lg barangnya",No Aspect,None
RVW_00167,"pembelian.ke 3x nya di offline store slalu kehabisan,",No Aspect,None
RVW_00173,"Product quality: sukaa sekaliiiiiii, bessttt pokona",No Aspect,None
RVW_00174,"Aku kira bakal yg dapet tester , padahal rencana pengen bli varian lain",No Aspect,None
RVW_00176,AKHIRNYA AKU PUNYA PHILEAAAA🩷🩷🩷🩷🦋🦋😭😭😭,No Aspect,None
RVW_00177,asli gtau lgi sm produk ini thank u bngt ini di luar dugong makasii bnyaakkkkkkkk min lope lope dehh 😍😍😍😍😍😍,No Aspect,None
RVW_00178,"Finally, wish list Philea kesampean jugaaa 💖",No Aspect,None
RVW_00180,sangat2 recomended untuk repurchase parfume hmns,No Aspect,None
RVW_00184,selalu memuaskannnn mantapp penjual fast respon,No Aspect,None
RVW_00199,Kualitas produk: Sangat baikk dan mantap,No Aspect,None
RVW_00201,akhirnya wishlist philea kebeli jugaaaa,No Aspect,None
RVW_00206,Belum di coba sih tapi thanks giftnya,No Aspect,None
RVW_00208,Pengiriman nya cepat,No Aspect,None
RVW_00209,"Selalu suka HMNS, dan varian kali ini",No Aspect,None
RVW_00211,Pengiriman sangat aman dari guncangan,No Aspect,None
RVW_00214,Akhirnya kesampean juga punya philea,No Aspect,None
RVW_00217,sukakk bgtt bakal repeat order sihh,No Aspect,None
RVW_00223,"Beliin buat istri, mudah2an suka",No Aspect,None
RVW_00224,Kualitas produk: ⭐⭐⭐⭐⭐,No Aspect,None
RVW_00227,❤️❤️❤️❤️❤️,No Aspect,None
RVW_00231,mantapp sekalii parfumnyaaaaaa,No Aspect,None
RVW_00236,Kualitas produk: Sangat baik,No Aspect,None
RVW_00237,makasiiii hmnsss😭😭😭,No Aspect,None
RVW_00238,ya allahhh jatuh cintaaaaaaa,No Aspect,None
RVW_00239,Product quality: Perfecto!!!,No Aspect,None
RVW_00240,Sampai tepat waktu dan aman,No Aspect,None
RVW_00242,Original.,No Aspect,None
RVW_00244,Kecintaan sepanjang masa.,No Aspect,None
RVW_00245,AKHIRNYA DAPETTT😍😍,No Aspect,None
RVW_00246,Botol ketiga ku😄…..,No Aspect,None
RVW_00247,Bgusss,No Aspect,None
RVW_00262,"Pengiriman sangat aman, cepat dan barang sesuai. Thank you!",No Aspect,None
RVW_00264,"barang bagus gada mines sama sekali, pokonya terbaik lah memang",No Aspect,None
RVW_00266,good product... premium... baru mo coba... recommended seller 👍👍,No Aspect,None
RVW_00274,pengirimannya yang cepat dan tepat. serta barang yang terkirim sesuai,No Aspect,None
RVW_00277,"This is my hundreds times, and not even a once I get bad experience, and now I even have a purse as an extra, thank you ❤️❤️❤️",No Aspect,None
RVW_00288,"Mantep! Gratis tester alpha, voucher 25k, dan kartu garansi! hehe… selalu terbaik! Thanks!!",No Aspect,None
RVW_00316,Terima kasih barang diterima dengan baik,No Aspect,None
RVW_00335,Product quality: Good Dapat bonus cermin.,No Aspect,None
RVW_00341,"Kualitas produk: baguss bangett pliss, first perfume hmns akuu terimakasih seller, gercep bangett asli, ngeklik hari ini besoknya datengg",No Aspect,None
RVW_00344,suka banget sama parfum nya🤩 sama makasih juga buat kalender 2026 ☺️,No Aspect,None
RVW_00345,Alhamdulillah puji syukur saya mendapatkan give calender spesial dari HMNS. Senang sekali rasanya dapat paket yang tak terduga... semoga HMNS semakin sukses selalu. terima kasih atas bantuan bencana dari HMNS semoga dapat dialokasikan dengan baik. ☘️🍃✨,No Aspect,None
RVW_00346,bintang 4 soalnya ga dikasih bonus beli 2 biji masa ga dibonusin ahhh admin mahhh soalnya liat di FYP pembelian diatas 500k dapet bonus apa gitu lupa lagi next order deh harus dibonusin ya bonusin adminnya gapapa,No Aspect,None
RVW_00348,loved it. arrived safely and even got a sample. might buy the lotion now haha,No Aspect,None
RVW_00349,"Seneng banget dapet voucher 25k, trus free handuk bagus banget ada logo H nya, kerennn BANGETTTT !!! Product quality: ORIGINAL !",No Aspect,None
RVW_00350,sangat amat baik tokonya amanah,No Aspect,None
RVW_00352,Bagus. Semoga kualitas sesuai yg dikatakan para pemakai yg lain.,No Aspect,None
RVW_00354,Sampai dengan lumayan cepat dan paket dalam kondisi aman Product quality: Masih di resting beberapa hari dulu,No Aspect,None
RVW_00355,Product quality: Alhamdullilah Mantap barang sampe dengan Selamat,No Aspect,None
RVW_00367,terima kasih 🫡 barang nya sudah sampai . aman 👍,No Aspect,None
RVW_00375,"terimakasih, sesuai pesanan",No Aspect,None
RVW_00377,"barang sudah diterima dengan baik, packing aman dan respon penjual sangat cepat (recommended) Semoga cocok dengan aromanya utk menambah kepercayaan diri 👍",No Aspect,None
RVW_00382,"mantappp, seller dan parfumnya. dapat bonus juga. sudah ketiga kalinya transaksi. mantap",No Aspect,None
RVW_00385,Bonus orgsm. Nice product 👌🏻 good service from humins. Thanks,No Aspect,None
RVW_00394,"beli untuk yg kedua kalinya... cukup puas,dengan produk... 👍👍👍👍👍",No Aspect,None
RVW_00395,barangnya ajib servicenya ajib ⭐️⭐️⭐️⭐️⭐️,No Aspect,None
RVW_00402,"response admin cepat, pengiriman pakai sicepat yang cepatnya juga ga main-main, parfumnya mantap, sangat puas",No Aspect,None
RVW_00403,"Pelayanan yang baik, pecah langsung dikirim yang baru, top deh, dan cepat lagi sampainya",No Aspect,None
RVW_00424,"biarkan⭐ yang berbicara, tidak pernah kecewa beli di sini",No Aspect,None
RVW_00434,Grecu6ojiuvrs bksisjhsusuwjsisuwbsnsusywhsis77262beieiwjjjjjiijjjwjbwjwuswjowiwuwbwnwisuwnwkwos7eywbnsisjnsnsisnsushsnjsisusjamsjdisuwh6wiwisnjsusbsusbsisnoskajzbs6ei2nyshana8znwks8zywbskisusnwos9suwhnwuzyy28nehsomaoamzhzyabosixunaksixhnsksixusnks8xnwmsyu19mwuxysnslkxuhansoizmsjzjzisnndidnidmw9wn2ms,No Aspect,None
RVW_00441,Barang cepat sampai. Packing aman. Terimakasih,No Aspect,None
RVW_00452,Kualitas produk: Berkualitas,No Aspect,None
RVW_00454,Yeaayy akhirnya parfum favorit nyampe jugaaa,No Aspect,None
RVW_00468,mantap semoga tahan penggunaan setahun.,No Aspect,None
RVW_00476,Kualitas produk: Mantap Kualitas bagus,No Aspect,None
RVW_00490,"Product quality: baguss banget, aman ga ada mines",No Aspect,None
RVW_00495,"Kualitas produk: Mantaap, sesuai dengan kebutuhan sehari hari",No Aspect,None
RVW_00498,"Saya sudah mengenal dan memakai produk ini,makanya saya beli lagi karena sudah pakai sebelumnya itu saja petunjuknya tidak usah diragukan lagi. Terima kasih",No Aspect,None
RVW_00499,Mantaappllaaahhhh.... gak tumpah....,No Aspect,None
RVW_00502,mantap. dikirim cepat. dan ada bonus gantungan kunci,No Aspect,None
RVW_00505,Kualitas produk: Original donggggg,No Aspect,None
RVW_00506,"terima kasih, parfum dah sampe dg slmt. ini order utk yg kesekian kali, coba varian beda... semoga cocok.",No Aspect,None
RVW_00511,"Wishlist dari dulu malah baru beli, beli yang lain ini terakhir. the best",No Aspect,None
RVW_00512,Thx 🙏🏼 dikasih bonus juga dan dikasih diskon utk next pembelian. Thx 😊,No Aspect,None
RVW_00517,First time trying this perfume. Semoga wanginya cocok,No Aspect,None
RVW_00519,Terima kasih HMNS atas free gift nya Loved 😍,No Aspect,None
RVW_00521,"Good good tiga2nya. Dapat bonus Orgsm 1, thank you",No Aspect,None
RVW_00526,"DIA SUKA PARFUMNYAAA ! dari dulu langganan hmns emg gapernah mengecewekan sih , SUKSES SELALU HMNS 🤗",No Aspect,None
RVW_00531,"Waaaah, ga terkira kalo dapat bonus extra, terimakasih hmns teams",No Aspect,None
RVW_00538,Wih mantap dapat bonusan🫡🫡 ga nyesel belanja di HMNS,No Aspect,None
RVW_00539,"Farhampton nya sudah sampe dgn aman, coba utk pertama x,",No Aspect,None
RVW_00540,"nyoba, kata orang orang rekomended... moga cocok dan repeat order... kurir juga cepat...",No Aspect,None
RVW_00543,besttt pokoknya,No Aspect,None
RVW_00544,"Dikasih gifttt, makasih yaaaa Bwat pacarku sih ini jdnya gatau gmn bau nya wkwk",No Aspect,None
RVW_00554,"parfum impiann, akhirnya kebeli juga setelah lama jadi waiting list 🤧, thankyou seller aman baranya dkirim sampai jepang",No Aspect,None
RVW_00559,Damn... parfum yang diidamkan karena penasaran sama wanginya.. trimss.. semoga istri suka..,No Aspect,None
RVW_00560,"Barang yang dikirim sesuai dengan pesanan, terimakasih seller",No Aspect,None
RVW_00561,I LOVE THIS PARFUME SO MUCH!!!!! akhirnya bisa kebeli yang fullsize nya hehe :3,No Aspect,None
RVW_00579,Really made my day.. habis capek desak2an demi antri vaksin.. pulangnya disambut sm si O yg udh ditunggu2 sejak kemarin.. 🥰🥰🥰🥰,No Aspect,None
RVW_00594,awalnya beli starter pack alhasil makin galau mo beli yg manaa setelah lama mikir akhirnya pilihan jatuh ke orgasm 🥰,No Aspect,None
RVW_00598,"puas bgt belanja di hmns, terimakasih bonusnya...",No Aspect,None
RVW_00599,Sempurna ...... Makasih bonus botol kecil nya,No Aspect,None
RVW_00600,Akhirnya... Terima kasih Humins 🥲🙏👍,No Aspect,None
RVW_00601,tambahin promonya dong kak wkwkwk suka bgt,No Aspect,None
RVW_00604,good. semoga suka buat kado soalnya,No Aspect,None
RVW_00605,Tap mantappppp.... Ori 👍🏻👍🏻👍🏻,No Aspect,None
RVW_00608,barang sesuai deskripsi... mari support brand lokal.. recommended seller,No Aspect,None
