brand,product,username,rating,tanggal,review
HMNS,Philea,J***a,5,3 bulan lalu,"Wanginya pas buat saya..elegant, ringan, seger..box kemasannya keren, botolnya juga simple elwgant, keren..gak nyangka aja ownernya alumni ITB..😄"
HMNS,Philea,Z***f,5,10 bulan lalu,Fix ini parfum hmns terbaik terenak terdebes. Bagi penyuka Citrus sih bakal SUKA BGTTTT. Tapi klo ga gitu suka wangi jejerukan bakal gasuka wkwk. Ketahanannya bisa 6 jam di baju duh cinta. Packagingnya juga gemes bgt. Makasih ya udh nyiptain iniii
HMNS,Philea,F***m,5,7 bulan lalu,"produk sesuai deskripsi, produk berkualitas, harga bersaing, pengemasan baik, pengiriman baik"
HMNS,Philea,Q***z,5,3 minggu lalu,"pengiriman aman dan cepat, belanja dapet harga oke dan pastinya di jamin ori berawal dari nyobain bodymist nya dan suka banget aroma segarnya yang ringan dan nyari tau untuk produk parfum dan langsung pesan ternyata aroma nya beda tipis tipis aja untuk ketahanan belom cobain"
HMNS,Philea,shabrina,5,10 bulan lalu,"packing aman banget, wangi ny bener2 se enakk itu, apa lagi pas udh dry done nya🥹🥹🥹, the besttt pwwollllll"
HMNS,Philea,M***u,5,1 bulan lalu,pertama kali beli philea langsung sukaaa dan jatuh cintaaaaa😍😍 Kualitas produk: wangi enak ga enek
HMNS,Philea,B***w,5,1 bulan lalu,Kualitas produk: sukaa wanginyaa mantep wanginya
HMNS,Philea,V***c,5,7 bulan lalu,"Kualitas produk: Bagus bangeettttt 💯 Udah cobain yg Elea skrg cobain yg Philea nya, double combo happy nyaaaa 💃🏻💃🏻💃🏻💕💕💕💕 Terimakasih all tim dan ka tsana , aku sukak produknya🙏🏻🤗"
HMNS,Philea,Y***q,5,4 bulan lalu,"Kualitas produk: Wangii Suka bangettt, pengiriman aman, packaging jg rapih, wanginya perpaduan elea dan philea, agak strong tp sukaaa 🫶🏻"
HMNS,Philea,O***b,5,3 minggu lalu,OH MY GOD BEST BANGET WANGINYAA👍🏼 karakter wanginya perempuan yang cantik banget tapi tetep kalem wanginya nyaman di hidung😭😭 best blind buy deh pokoknyaa👍🏼
HMNS,Philea,T***c,5,10 bulan lalu,"Cantik banget packaging nya. Memutuskan beli ini krn suka banget sama Elea. Ini tuh mirip bgt bgt bgt sama Elea at first spray, cuma Philea dry down nya turns into soft comfy but still fresh. Kalo Elea kan seger seharian gitu, ya gitu bedanya. Jd emg 2 twin sister ini best combo🫶🏻"
HMNS,Philea,T***n,5,10 bulan lalu,Kualitas produk: SANGAT REKOMENDASI!!! GA MENYESAL SAMA SEKALI SAYANG PAUS DAN HMNS<3
HMNS,Philea,O***o,5,8 bulan lalu,"Aromanya best dan lama2 aromanya lembut/kalem, untuk ketahanan awet sekitar 6jam an. Cocok digunakan aktivitas pagi & siang hari"
HMNS,Philea,elizstiawaty,5,8 bulan lalu,"wanginya sesuai ekspektasi , emng hmns gak pernah ggal sih wanginya . definisi cewe cantik yg sesungguhnya , fress floral yg gak nyegrak dihidung . mau coba yg eos ntar , soalnya baru beli yg bodymistnya aja udh wangi 💅🏻😍"
HMNS,Philea,Y***y,5,10 bulan lalu,Pengemasan aman . Terima kasih ☘️☘️☘️
HMNS,Philea,C***i,5,7 bulan lalu,"Akhirnya setelah menabung kebeli jugaa Wanginya enak fresh, cocok untuk siang outdoor nih, pengirimannya cepet banget lagi. Love love Dapet freenya juga"
HMNS,Philea,J***h,5,10 bulan lalu,"Baunya sih memang beda sama ELEA, tapi familiar wkwk gak tau gimana jelasinnya. Sama2 enak intinya. Kalo suka elea ya harusnya philea pun akan tetap suka karena sama soft nya."
